sending_institution,sending_course_code,sending_course_name,sending_credits,receiving_institution,receiving_course_code,receiving_course_name,credits_transferred,note,gen_ed_requirement,label,label_name,rule_applied
Berkshire,CIS 102,Fundamental Computer Literacy,4,Bridgewater,,Computer Elective,4,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Cape Cod,BST 110,Computer ApplicationsGeneral Education Elective; Formerly GIT 110.,3,Additional 1 credit of general elective credit may be awarded if necessary for degree completion.,-,1,partial_or_elective,Note mentions additional elective credit
Berkshire,CIS 102,Fundamental Computer Literacy,4,Cape Cod,GIT 110#(Replaced: 9/1/2022),Computer ApplicationsGeneral Education Elective.,3,Additional 1 credit of general elective credit may be awarded if necessary for degree completion.,-,1,partial_or_elective,Note mentions additional elective credit
Berkshire,CIS 102,Fundamental Computer Literacy,4,Cape Cod,GIT 110#(Replaced: 9/4/2018),Microcomputer Applications Software,3,Additional 1 credit of general elective credit may be awarded if necessary for degree completion.,-,1,partial_or_elective,Note mentions additional elective credit
Berkshire,CIS 102,Fundamental Computer Literacy,4,Fitchburg,CSC 1100,Computer Applications,3+1,,-,1,partial_or_elective,Credits transferred has '+' indicating split credit (e.g. 3+1)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Framingham,CSCI 120,Introduction to Information TechnologyStudents cannot receive credit for both this course and 63.151 Personal Computer (PC) Fundamentals and Applications.,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,MCLA,CCCL 100,Computing and Communication,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Middlesex,CAP 100,Computer Essentials,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Northern Essex,CIS 101,Computer for Beginners,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Quinsigamond,CIS 111,Introduction to Microcomputer Applications,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Salem,ITC 100,Computers and Their Uses,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Springfield Tech,CMP 106,Computer Basics: Concepts and Applications,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Springfield Tech,CMPA 160#(Replaced: ),Computer Basics: Concepts and Applications,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,UMass Amherst,CMPSCI 105,Computer Literacy,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,UMass Dartmouth,CIS 110,Computer Literacy,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Westfield,CAIS 0124#(Disc'd: 6/1/2024),The Personal Computer,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 102,Fundamental Computer Literacy,4,Worcester,CS 120,Microcomputer Applications,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 108,Computer Science Principles,3,Fitchburg,CSC 1002,Computational Thinking,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 108,Computer Science Principles,3,Middlesex,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110,IT Essentials,3,Bristol,CIT 121,Information Technology Fluency I,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 110#(Replaced: 7/1/2024),IT Essentials,4,Bristol,CIT 121,Information Technology Fluency I,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 110,IT Essentials,3,Fitchburg,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110#(Replaced: 7/1/2024),IT Essentials,4,Fitchburg,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110,IT Essentials,3,Middlesex,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110#(Replaced: 7/1/2024),IT Essentials,4,Middlesex,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110,IT Essentials,3,Middlesex,,Information Technology Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110#(Replaced: 7/1/2024),IT Essentials,4,Middlesex,,Information Technology Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110,IT Essentials,3,Quinsigamond,CIS 105,Introduction to Information Technology,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 110#(Replaced: 7/1/2024),IT Essentials,4,Quinsigamond,CIS 105,Introduction to Information Technology,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 110,IT Essentials,3,UMass Dartmouth,,Computer Information Systems Elective,4*,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110#(Replaced: 7/1/2024),IT Essentials,4,UMass Dartmouth,,Computer Information Systems Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 110,IT Essentials,3,Worcester,,Free Elective,4*,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 110#(Replaced: 7/1/2024),IT Essentials,4,Worcester,,Free Elective,4,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 124,C++ Programming I,4,Bridgewater,COMP 101#(Replaced: ),Computer Science I,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Bridgewater,COMP 151,Computer Science I,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Bristol,CIS 155,Introduction to C++ Programming,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Bunker Hill,CIT 237#(Replaced: 9/1/2020),C++ ProgrammingFor additional information and/or a course syllabus contact CITDepartment@bhcc.mass.edu.,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Bunker Hill,CSC 237,C++ ProgrammingFor additional information and/or a course syllabus contact CITDepartment@bhcc.mass.edu.,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Cape Cod,CSC 120,Computer Programming I: C++,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Fitchburg,CSC 1500,Computer Science I,3+1,,-,1,partial_or_elective,Credits transferred has '+' indicating split credit (e.g. 3+1)
Berkshire,CIS 124,C++ Programming I,4,Framingham,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 124,C++ Programming I,4,Greenfield,CIS 252#(Replaced: 9/1/2020),C++ Programming,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Greenfield,CSC 252,C++ Programming,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Massasoit,CTIM 371,Programming in C++,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,MassBay,CS 211,C++ Programming,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,MCLA,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 124,C++ Programming I,4,Middlesex,CSC 151,Programming I,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Northern Essex,CIS 240,C++ Programming Language,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Quinsigamond,CIS 121,Introduction to Programming in C++,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 124,C++ Programming I,4,Salem,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 124,C++ Programming I,4,Springfield Tech,CSC 101/101L,Computer Science 1 + Lab: Computer Science 1,3+1,,-,1,partial_or_elective,Credits transferred has '+' indicating split credit (e.g. 3+1)
Berkshire,CIS 124,C++ Programming I,4,UMass Amherst,,Major or general elective,4,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 124,C++ Programming I,4,UMass Amherst,,major or elective credit,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 124,C++ Programming I,4,UMass Dartmouth,,Computer Information Systems Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 124,C++ Programming I,4,UMass Lowell,,Computer Science 1000 Level Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 124,C++ Programming I,4,Westfield,,Elective,4,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 124,C++ Programming I,4,Worcester,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 125,C++ Programming II,4,Bridgewater,COMP 152,Computer Science II,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Bridgewater,COMP 152#(Replaced: 9/4/2019),Computer Science II,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125#(Replaced: 7/1/2024),C++ Programming II,4,Bridgewater,COMP 152,Computer Science II,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125#(Replaced: 7/1/2024),C++ Programming II,4,Bridgewater,COMP 152#(Replaced: 9/4/2019),Computer Science II,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Bunker Hill,CIT 284#(Replaced: 9/1/2020),Advanced C++/OOP,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Bunker Hill,CSC 284,Advanced C++/OOP,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Fitchburg,CSC 1550,Computer Science II,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Framingham,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 125,C++ Programming II,4,Massasoit,CTIM 372,Advanced Programming in C++,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,MCLA,CSCI 330,Programming in C++,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Middlesex,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 125,C++ Programming II,4,Quinsigamond,CIS 225,Programming with C++ II,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Salem,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 125,C++ Programming II,4,UMass Amherst,,Major or general elective,4,,-,1,partial_or_elective,Receiving course name contains 'free elective' or 'general elective'
Berkshire,CIS 125,C++ Programming II,4,UMass Amherst,,major or elective credit,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 125,C++ Programming II,4,UMass Dartmouth,CIS 190,Intro Procedural Program,4,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 125,C++ Programming II,4,Westfield,,Elective,4,,-,1,partial_or_elective,Receiving course name is purely 'Elective' (no specific course match)
Berkshire,CIS 125,C++ Programming II,4,Worcester,,Computer Science Elective,4,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 145,Linux Essentials,3,Fitchburg,,Computer Science Elective,3,,-,1,partial_or_elective,Receiving course name contains 'elective' AND receiving course code is empty
Berkshire,CIS 145,Linux Essentials,3,Middlesex,CSC 156,Operating Systems Basic and Security,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
Berkshire,CIS 145,Linux Essentials,3,Middlesex,CSC 156#(Replaced: 9/1/2018),Operating Systems Basics and Security,3,,-,2,direct_equivalent,Has a specific receiving course code and positive credits (default)
